Sc‚nario;i=1;;i=2;;i=3;;i=4;;i=5;;i=6;;i=7;
1;0.7935;;0.8178;;0.7120;;0.5949;;0.7346;;0.7810;;0.8175;
2;    0.8191;;    0.8316;;    0.6747;;    0.6042;;    0.6859;;    0.7545;;    0.7645;
3;    0.7546;;    0.7783;;    0.7424;;    0.5925;;    0.7140;;    0.7802;;    0.7360;
4;    0.8772;;    0.8345;;    0.7244;;    0.5955;;    0.7040;;    0.7851;;    0.7808;
5;    0.7897;;    0.8407;;    0.7023;;    0.5917;;    0.6868;;    0.7678;;    0.7759;
6;    0.8807;;    0.7830;;    0.7346;;    0.6014;;    0.7246;;    0.7380;;    0.7602;
7;    0.8014;;    0.8972;;    0.6651;;    0.6038;;    0.7189;;    0.7750;;    0.8188;
8;    0.8841;;    0.8149;;    0.7322;;    0.5699;;    0.7029;;    0.7732;;    0.7941;
9;    0.7919;;    0.8409;;    0.7147;;    0.5818;;    0.7628;;    0.7844;;    0.7771;
10;    0.7246;;    0.8135;;    0.7275;;    0.5946;;    0.7477;;    0.7560;;    0.7864;
11;    0.8281;;    0.8075;;    0.6899;;    0.6003;;    0.7609;;    0.7824;;    0.7866;
12;    0.8041;;    0.8211;;    0.6973;;    0.6065;;    0.6974;;    0.7692;;    0.8009;
13;    0.7814;;    0.7852;;    0.7147;;    0.5792;;    0.7349;;    0.7622;;    0.8165;
14;    0.8273;;    0.7829;;    0.6752;;    0.5958;;    0.7466;;    0.7741;;    0.8081;
15;    0.7824;;    0.8742;;    0.6805;;    0.6010;;    0.7334;;    0.7891;;    0.7815;
16;    0.8544;;    0.8665;;    0.7167;;    0.5957;;    0.7622;;    0.7763;;    0.8016;
17;    0.7952;;    0.8561;;    0.6649;;    0.5921;;    0.7210;;    0.7727;;    0.7979;
18;    0.8713;;    0.8416;;    0.7223;;    0.5791;;    0.7040;;    0.7983;;    0.7666;
19;    0.8172;;    0.8313;;    0.7089;;    0.6192;;    0.7109;;    0.7831;;    0.7926;
20;    0.8083;;    0.8499;;    0.6854;;    0.5872;;    0.7798;;    0.7672;;    0.7576;
21;    0.8286;;    0.9059;;    0.7164;;    0.5891;;    0.7192;;    0.7751;;    0.8000;
22;    0.7862;;    0.8307;;    0.6839;;    0.5912;;    0.7112;;    0.7682;;    0.8251;
23;    0.8177;;    0.8451;;    0.7207;;    0.5923;;    0.7435;;    0.7806;;    0.7760;
24;    0.8126;;    0.7847;;    0.7023;;    0.5986;;    0.7156;;    0.7764;;    0.7579;
25;    0.7355;;    0.8724;;    0.6801;;    0.5825;;    0.7401;;    0.7443;;    0.8661;
26;    0.8734;;    0.8393;;    0.7216;;    0.5848;;    0.7399;;    0.7527;;    0.8175;
27;    0.8352;;    0.8571;;    0.6920;;    0.5830;;    0.7162;;    0.7938;;    0.8288;
28;    0.8142;;    0.8047;;    0.6861;;    0.5948;;    0.7485;;    0.7770;;    0.8012;
29;    0.8114;;    0.8436;;    0.7238;;    0.5981;;    0.7537;;    0.8063;;    0.7416;
30;    0.8107;;    0.8617;;    0.6488;;    0.5802;;    0.7355;;    0.7966;;    0.8088;
31;    0.7749;;    0.8449;;    0.7082;;    0.6013;;    0.7103;;    0.7598;;    0.7685;
32;    0.8013;;    0.7960;;    0.6920;;    0.5856;;    0.7131;;    0.7645;;    0.7903;
33;    0.7964;;    0.8682;;    0.6872;;    0.5771;;    0.7261;;    0.7877;;    0.7997;
34;    0.8263;;    0.8305;;    0.6952;;    0.5846;;    0.7237;;    0.8016;;    0.7770;
35;    0.8328;;    0.8211;;    0.7040;;    0.5756;;    0.7135;;    0.7893;;    0.7575;
36;    0.8488;;    0.7640;;    0.7047;;    0.5902;;    0.7584;;    0.7526;;    0.8418;
37;    0.8935;;    0.8178;;    0.7132;;    0.5872;;    0.6853;;    0.7757;;    0.7899;
38;    0.8425;;    0.8004;;    0.7144;;    0.5815;;    0.7347;;    0.7741;;    0.8230;
39;    0.8044;;    0.7815;;    0.7051;;    0.5935;;    0.7049;;    0.7938;;    0.7777;
40;    0.8751;;    0.8251;;    0.6833;;    0.5920;;    0.7326;;    0.7711;;    0.8268;
41;    0.8113;;    0.7758;;    0.7180;;    0.5795;;    0.6863;;    0.7600;;    0.7215;
42;    0.8575;;    0.8809;;    0.6594;;    0.5666;;    0.7412;;    0.7721;;    0.7959;
43;    0.8674;;    0.8338;;    0.6716;;    0.6025;;    0.7412;;    0.7904;;    0.7613;
44;    0.7801;;    0.8019;;    0.6856;;    0.5879;;    0.7543;;    0.7574;;    0.8385;
45;    0.7606;;    0.8496;;    0.6589;;    0.5961;;    0.7107;;    0.7790;;    0.7952;
46;    0.8144;;    0.8624;;    0.6917;;    0.5815;;    0.7299;;    0.7708;;    0.8113;
47;    0.8242;;    0.8325;;    0.7288;;    0.6089;;    0.7172;;    0.7789;;    0.7896;
48;    0.8256;;    0.8083;;    0.6748;;    0.5932;;    0.7129;;    0.7510;;    0.7854;
49;    0.8594;;    0.8859;;    0.6636;;    0.5986;;    0.7209;;    0.7669;;    0.7658;
50;    0.7547;;    0.8604;;    0.6932;;    0.5865;;    0.7322;;    0.7681;;    0.7863;
51;    0.8031;;    0.8029;;    0.7182;;    0.5840;;    0.7315;;    0.7642;;    0.7892;
52;    0.8153;;    0.8240;;    0.7320;;    0.5811;;    0.7246;;    0.7734;;    0.7621;
53;    0.8587;;    0.7737;;    0.7124;;    0.5841;;    0.7591;;    0.7858;;    0.7755;
54;    0.8345;;    0.8121;;    0.7504;;    0.5842;;    0.7357;;    0.7898;;    0.8225;
55;    0.8260;;    0.8604;;    0.6892;;    0.5761;;    0.7528;;    0.7713;;    0.7749;
56;    0.8069;;    0.8275;;    0.7394;;    0.5960;;    0.7034;;    0.7488;;    0.8221;
57;    0.7986;;    0.8649;;    0.7074;;    0.5830;;    0.7608;;    0.7572;;    0.7441;
